Time,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15
0,9,7,11,11,7,11,11,9,11,11,7,6,7,8,9
6,10,7,12,12,11,11,12,9,12,11,7,6,7,9,10
12,11,8,12,12,11,11,12,9,12,12,7,6,8,9,11
18,11,8,12,12,12,11,13,10,12,13,8,7,8,10,11
23,11,8,12,13,13,11,13,10,13,14,8,7,9,10,12
29,11,9,12,13,13,11,13,11,13,14,8,7,10,10,14
35,11,9,13,13,13,11,14,11,14,14,8,8,11,11,13
41,11,10,13,14,14,11,14,12,14,14,9,8,12,13,13
47,12,11,13,14,14,11,14,12,14,15,9,9,12,13,13
53,12,13,13,14,14,11,14,12,15,15,10,9,12,13,13
59,13,14,13,14,15,11,14,13,14,15,10,10,13,13,13
65,14,14,14,15,15,12,15,13,14,15,10,10,12,13,13
70,14,15,14,14,15,12,15,13,15,15,11,11,12,14,13
76,14,15,14,14,16,13,15,14,15,16,11,12,13,14,13
82,14,15,15,13,16,13,15,14,14,16,12,13,13,15,13
88,14,15,14,15,17,13,16,14,13,16,11,13,13,15,14
94,14,15,15,14,17,13,16,14,14,16,12,14,13,15,14
100,14,15,15,14,19,13,19,14,14,16,13,16,13,15,15
