Time,RPE,SFL
0,6,1
10,11,NaN
20,12,NaN
30,12,3
40,12,NaN
50,13,NaN
60,13,5
70,13,NaN
80,14,NaN
90,14,6
100,14,NaN
110,14,NaN
120,15,6
130,14,NaN
140,14,NaN
150,13,6
160,15,NaN
170,14,NaN
180,14,7
